image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url,wear_type
female_00000.webp,https://assets.newme.asia/wp-content/uploads/2026/06/12073053427750de/NM-PRC-455-DRS-26-JUN-34374-SAGE(1).webp,10826374,Sage Ruched Bodycon Mini Dress,"Sage, Cream, Wine",Bodycon,Ruched,,1199,5.0,Dresses,https://newme.asia/product/sage-ruched-bodycon-mini-dress,upper wear
female_00001.webp,https://assets.newme.asia/wp-content/uploads/2025/05/171834445a6b7ead/NM-IN-56-DRS-24-DEC-13851-DARKBROWN(1)_c.webp,6228589,Red Draped Detail Mini Dress,"Red, Light Blue",,,,599,4.9,Dresses,https://newme.asia/product/red-draped-detail-mini-dress,upper wear
female_00002.webp,https://assets.newme.asia/wp-content/uploads/2026/04/161009434444166c/NM-IN-56-DRS-24-JUN-6896-BROWN(0).webp,3977087,Brown Solid Tie Up Maxi Dress,"Brown, White, Black, Yellow, Pink, Blue",,Solid,,899,4.7,Dresses,https://newme.asia/product/brown-solid-tie-up-maxi-dress,upper wear
female_00003.webp,https://assets.newme.asia/wp-content/uploads/2026/03/28134513fbe34d5f/NM-PRC-159-DRS-26-MAR-32194-BLACK(1).webp,9864276,Black Embroidered Ethnic A-Line Dress,,,,,1199,4.8,Dresses,https://newme.asia/product/black-embroidered-ethnic-a-line-dress,upper wear
female_00004.webp,https://assets.newme.asia/wp-content/uploads/2026/03/1715592685b4dd97/NM-PRC-178-DRS-26-MAR-31596-OFFWHITE(1).webp,9742464,Off White Striped Maxi Dress,,,Striped,,999,4.9,Dresses,https://newme.asia/product/off-white-striped-maxi-dress,upper wear
female_00005.webp,https://assets.newme.asia/wp-content/uploads/2026/05/09102331e3473fe4/NM-IN-56-DRS-24-APR-5058-RED(0).webp,4164837,Red One Shoulder Ruched Dress,"Red, Maroon, White, Brown, Pink",,Ruched,,449,4.7,Dresses,https://newme.asia/product/red-one-shoulder-ruched-dress,upper wear
female_00006.webp,https://assets.newme.asia/wp-content/uploads/2026/02/17091722319f5fd0/NM-IN-56-DRS-25-DEC-22414-BROWN(0).webp,9464669,Brown Leopard Print Mini Dress,"Brown, Olive, Pink",,,,899,4.9,Dresses,https://newme.asia/product/brown-leopard-print-mini-dress-7,upper wear
female_00007.webp,https://assets.newme.asia/wp-content/uploads/2025/07/21171726a657059d/NM-IN-56-DRS-24-SEP-9134-MAROON(1).webp,3954952,Maroon Embellished Off Shoulder Dress,"Maroon, White, Dark Blue",,,,1549,4.8,Dresses,https://newme.asia/product/maroon-embellished-off-shoulder-dress-2,upper wear
female_00008.webp,https://assets.newme.asia/wp-content/uploads/2025/06/281356372e11252f/NM-IN-56-DRS-25-APR-17103-RED(1).webp,6871620,Red Glitter Ruffles Detail Slip Micro Mini Dress,,,,,1199,4.7,Dresses,https://newme.asia/product/red-glitter-ruffles-detail-slip-micro-mini-dress,upper wear
female_00009.webp,https://assets.newme.asia/wp-content/uploads/2025/09/22070612a3387bfa/NM-IN-56-DRS-24-OCT-9947-MAROON_(1).webp,4254040,Maroon Extended Cape Sleeve Maxi Dress,"Maroon, Black",,,,1099,4.8,Dresses,https://newme.asia/product/maroon-extented-cape-sleeve-maxi-dress-2,upper wear
female_00010.webp,https://assets.newme.asia/wp-content/uploads/2025/09/2014523714816f87/NM-PRC-374-DRS-25-SEP-24962-BROWN(1).webp,7701947,Leopard Print Ruched Bodycon Midi Dress,,Bodycon,Ruched,,1149,4.9,Dresses,https://newme.asia/product/leopard-print-ruched-bodycon-midi-dress,upper wear
female_00011.webp,https://assets.newme.asia/wp-content/uploads/2026/01/1510053583b1dfe1/NM-IN-56-DRS-24-DEC-13855-BLACK(1).webp,9084790,Black Ruching Detail Asymmetric Neck Mini Dress,,,,,699,4.9,Dresses,https://newme.asia/product/black-ruching-detail-asymmetric-neck-mini-dress-7,upper wear
female_00012.webp,https://assets.newme.asia/wp-content/uploads/2025/08/221150089935c70c/NM-IN-56-DRS-24-OCT-10050-MAROON(1).webp,3732735,Maroon Colorblock Bodycon Dress,,Bodycon,,,899,4.8,Dresses,https://newme.asia/product/maroon-colorblock-bodycon-dress-2,upper wear
